Bug ID,Module,Verdict,Fix Date,Development Comments,Files Changed,Regression Testing Comments
DSV-001,Standup,Fixed,2026-05-11,"Form now explicitly resets textareas to empty string (was setting undefined which left stale text in some browsers). Success banner auto-hides after 4 seconds. Window scrolls to top after submit so the success message is visible.",frontend/src/pages/StandupPage.tsx,"Re-test: submit a standup, confirm fields clear, success message appears at top, disappears after 4s"
DSV-002,Standup,Fixed,2026-05-12,"Layout shake was caused by the header status indicator changing width on mode transitions (Checking mic / Recording / Enhancing / Done all had different widths) and the language dropdown being removed when recording. Added a fixed-width 160px slot for the status indicator and kept the language dropdown in the DOM (with visibility:hidden) during recording so the header no longer reflows.",frontend/src/components/voice/VoiceRecorder.tsx,"Click the mic icon and verify the page content below the recorder does not jolt / shake"
DSV-003,Standup,Backend/config issue,,"Not an app-code bug. The AI service is returning 'temporarily unavailable' - this is an environment/quota/connectivity issue with the AI provider. Check the AI service environment variables and quota.",,"Pending infra check"
DSV-004,Standup,Design decision needed,,"Re-translating already-captured voice content when the language changes is a new feature, not a fix. Two options: (a) re-run the AI call to translate the existing transcript, (b) clear the captured text and prompt user to re-record in the new language. Need product call.",,"Pending design decision"
DSV-005,Standup,Fixed,2026-05-11,"Window now scrolls to top when submit fails, so the error banner at the top of the form is immediately visible (same onSubmit change as DSV-001).",frontend/src/pages/StandupPage.tsx,"Re-test by triggering a duplicate-submission error - page should auto-scroll to show the message"
DSV-006,Standup,Possibly already works,,"Code already has cancelEdit() wired to the Cancel button at StandupPage.tsx line 314 (and a second button at the bottom). The handler clears editingEntry state and resets the form. Please re-test on the latest build and share a recording if the issue persists.",,"Re-verify on current build"
DSV-007,Standup,Needs investigation,,"Needs to know: which timezone was the tester in, and what time was displayed vs expected. Likely a UTC-vs-local display issue in the My Submissions list timestamp.",,"Pending more details"
DSV-008,Standup Rollup Popup,Fixed,2026-05-12,"Day-header background changed from a soft blue gradient (text was hard to read) to a solid indigo-600 with white text. The 'X updates' badge inverted to white pill with indigo text for high contrast.",frontend/src/pages/StandupPage.tsx,"Open the Standup Rollup tab and verify the date row at the top of each day card is clearly visible"
DSV-009,Standup Rollup,Fixed,2026-05-12,"Blockers row now follows the same Yesterday/Today layout (uppercase label column + content). Previously the icon was orphaned next to the value with no label, making 'None' look misaligned. Now reads: BLOCKERS [icon]   <text>",frontend/src/pages/StandupPage.tsx,"View a rollup entry that has blockers - the row should align cleanly with the Yesterday/Today rows"
DSV-010,Project Add Popup,Fixed,2026-05-12,"Added closeOnBackdropClick prop to the shared Modal component (defaults to true so existing modals are unaffected). Applied closeOnBackdropClick={false} to the Create Project modal so clicking outside no longer dismisses it. The X button and explicit Cancel still close as expected.",frontend/src/components/ui/Modal.tsx; frontend/src/pages/ProjectsPage.tsx,"Open New Project popup, click outside - should stay open. Click X or Cancel - should close."
DSV-011,Standup / My Submissions,Fixed,2026-05-12,"Backend was using Catalyst's executeSearchQuery which requires the Search Index to be enabled per-column in the Catalyst console. When not configured the endpoint always returned zero hits. Switched to a ZCQL LIKE query against yesterday/today/blockers columns so search works regardless of search-index configuration.",functions/delivery_sync_function/src/controllers/StandupController.js,"Type a keyword in the My Submissions search box - matching standups should appear"
DSV-012,Standup (TL view),Pending - major,,"RBAC / sharing-rules issue. Team Lead's tenant query is not returning team members standups. Needs backend investigation of the listStandups endpoint and the sharing rules for the TL role.",,"Pending"
DSV-013,Standup Help Documentation,Pending - major,,"Same root cause as DSV-012. Help doc is correct in intent (TL should see team submissions); the feature itself is not surfacing the data. Fix DSV-012 and this resolves automatically.",,"Linked to DSV-012"
DSV-014,My Task / Time Log,Needs clarification,,"Best guess: user typed 0.1 in the hours field expecting 1 minute, but 0.1 hours = 6 minutes (mathematically correct). The conversion logic was already changed earlier from rounding to 0.25-hour increments to 0.01-hour increments. Please share a screenshot of the exact input vs displayed value.",,"Pending screenshot"
DSV-015,Time Tracking Report,Fixed,2026-05-12,"Moved the user avatar and name out of the Task Description cell into a new dedicated 'User' column. The description cell now shows only task description content as intended.",frontend/src/pages/TimeTrackingPage.tsx,"Open the Time Tracking report - User column should appear between Date and Project; Task Description column should contain only the description text"
DSV-016,Time Tracking Approvals,Fixed,2026-05-12,"The Select-All checkbox in the table header was rendering centered (default <th> alignment) while the row checkboxes were left-aligned (default <td>). Added text-left to the header cell so both columns of checkboxes line up vertically.",frontend/src/pages/TimeTrackingPage.tsx,"Open the Time Tracking Approvals page - the Select-All checkbox should be vertically aligned with the row checkboxes"
DSV-017,Time Entry Approval Mail,Fixed,2026-05-11,"Email completely rebuilt. Greeting is now on its own line. Body is a properly formatted HTML table with Hours, Date, and Description rows. Mobile-friendly card layout.",functions/time_tracking_service/src/controllers/ApprovalController.js,"Send a test approval and verify the email renders with multi-line layout"
DSV-018,Time Entry Approval Mail,Fixed,2026-05-11,"Hours now formatted as human-readable (0.1h becomes '6 min', 1.5h becomes '1 h 30 min'). Date is formatted as '11 May 2026' instead of '2026-05-11 00:00:00'.",functions/time_tracking_service/src/controllers/ApprovalController.js,"Test with various durations (1min, 30min, 1h, 1h 30m, 8h) and confirm correct format"
DSV-019,Time Entry Approval Mail,Fixed,2026-05-11,"Subject changed from '[Delivery Sync] Time entry approved' to '[DSV OpsPulse] Your time entry was approved'. Rejection subject correspondingly changed.",functions/time_tracking_service/src/controllers/ApprovalController.js,"Verify email subject in inbox"
DSV-020,Time Entry Approval Mail,Fixed,2026-05-11,"Email now includes 'Regards,' line and 'DSV OpsPulse team' signature in indigo brand colour at the bottom.",functions/time_tracking_service/src/controllers/ApprovalController.js,"Verify signature block appears in approval and rejection emails"
DSV-021,EOD Submission,Fixed,2026-05-11,"Window scrolls to top after submit so success message is visible without manual scroll. Same fix on the error path.",frontend/src/pages/EodPage.tsx,"Submit an EOD entry and verify auto-scroll to the success banner"
DSV-022,EOD Submission,Fixed,2026-05-11,"Explicitly resets accomplishments, planned_tomorrow, and blockers fields to empty string after submit. Also auto-hides success banner after 4s.",frontend/src/pages/EodPage.tsx,"Re-test the submit flow and confirm fields are empty after submission"
DSV-023,EOD / My Submission,Possibly already works,,"Code already has cancelEdit() wired to both the inline Cancel button and the bottom action-row Cancel button. Please re-test on the latest build and share a recording if the issue persists.",,"Re-verify on current build"
DSV-024,EOD / My Submission,Fixed,2026-05-11,"My Submissions date filter now defaults to today (was empty string which meant 'all dates'). The date picker now matches what is displayed by default.",frontend/src/pages/EodPage.tsx,"Open the My Submissions tab - date picker should show today's date and only today's EODs"
DSV-025,Dashboard,Pending - needs screenshot,,"Too vague to pinpoint - need to know which specific cards have inconsistent spacing. Please share a screenshot or note which cards/sections.",,"Pending screenshot"
DSV-026,Apply Leave,Fixed,2026-05-11,"End Date asterisk and required-validation error are now suppressed when Half Day is checked. The field is disabled and auto-locked to the start date so the error is meaningless in that state.",frontend/src/pages/LeavePage.tsx,"Apply for a Half Day leave - End Date should be disabled with no asterisk and no error"
DSV-027,Sprint Boards,Fixed,2026-05-12,"Total Tasks count was using Object.values(boardData).flat() which included status keys returned by the backend that we don't render as columns (CANCELLED, BACKLOG, etc.) - inflating the count past what was visible. Now counts only tasks in the 4 displayed columns (TODO / IN_PROGRESS / IN_REVIEW / DONE).",frontend/src/pages/SprintBoardPage.tsx,"Verify Total Tasks number matches the sum of tasks visible across all four board columns"
DSV-028,Project Milestones,Fixed,2026-05-11,"Add Milestone button is now gated by hasPermission(user, MILESTONE_WRITE). Hidden in Header actions and in the empty-state CTA for users without the permission. Empty-state copy adjusts for read-only viewers.",frontend/src/pages/MilestonesPage.tsx,"Log in as TEAM_MEMBER - Add Milestone button should not appear at all. Log in as TL/Admin - button should still appear."
DSV-029,Time Tracking,Not a bug,2026-05-11,"This is the self-approval feature implemented earlier. When the user submitting time is the same as the task owner/approver, there is no one else to approve, so the entry auto-approves rather than creating a meaningless approval request. To see the pending state, log time on a task created by someone else.",functions/time_tracking_service/src/controllers/TimeController.js,"Test by logging time on someone else's task - status should go to SUBMITTED, not APPROVED"
DSV-030,Side Menu / Navigation,Pending - needs screenshot,,"Too vague - need a screenshot or description of the exact visual issue when collapsing the side menu.",,"Pending screenshot"
DSV-031,Bug Reports (attachments),Fixed,2026-05-12,"CRITICAL race condition: when users submitted bug reports, attachments from different submissions were all being uploaded onto a single (older) bug. Root cause: the submitReport controller used raw ZCQL INSERT (which doesn't return the new ROWID) and then did a separate SELECT ... ORDER BY ROWID DESC LIMIT 1 to fetch the new row. Because Catalyst's DataStore is eventually consistent, this follow-up SELECT often returned a stale older row, and the frontend then uploaded attachments against that wrong ROWID. Fix: switched to atomic catalystApp.datastore().table(BUG_REPORTS).insertRow(...) which returns the new ROWID directly from the INSERT response. Also added defensive validation on the frontend to refuse uploads if no ROWID comes back.",functions/bug_service/src/controllers/BugReportController.js; frontend/src/components/bugs/ReportBugWidget.tsx,"Submit two bug reports in quick succession with different attachments each. Open both - each should only contain its own attachments. Cross-user test: two users submit at the same time, attachments must not cross over."
